County,2015,2016,2017,2018,4-year_mean_rounded
Alameda,839,816,767,730,788
Alpine,1,1,1,1,1
Amador,37,30,33,26,32
Butte,419,306,327,331,346
Calaveras,38,39,29,40,37
Colusa,24,19,26,41,28
Contra Costa,443,422,439,523,457
Del Norte,42,44,41,49,44
El Dorado,134,105,110,121,118
Fresno,1829,1505,1527,1579,1610
Glenn,27,28,50,35,35
Humboldt,115,116,137,149,129
Imperial,100,137,139,160,134
Inyo,14,17,14,14,15
Kern,1509,1289,1290,1319,1352
Kings,423,281,362,328,349
Lake,105,126,138,133,126
Lassen,40,30,23,25,30
Los Angeles,11866,9901,10364,10963,10774
Madera,192,172,155,179,175
Marin,55,48,40,60,51
Mariposa,12,15,11,16,14
Mendocino,127,120,111,127,121
Merced,369,293,300,311,318
Modoc,5,6,7,15,8
Mono,6,3,5,6,5
Monterey,480,390,439,447,439
Napa,52,69,86,83,73
Nevada,41,28,32,39,35
Orange,1765,1655,1683,1686,1697
Placer,198,208,239,231,219
Plumas,18,20,18,19,19
Riverside,3195,2446,2686,2887,2804
Sacramento,1727,1696,1717,1857,1749
San Benito,39,28,42,44,38
San Bernardino,3533,3123,3194,3259,3277
San Diego,2761,2259,2488,2662,2543
San Francisco,334,335,379,392,360
San Joaquin,964,860,853,836,878
San Luis Obispo,401,291,300,247,310
San Mateo,285,274,250,321,283
Santa Barbara,311,275,320,334,310
Santa Clara,954,839,878,867,885
Santa Cruz,169,115,122,124,133
Shasta,432,338,312,363,361
Sierra,1,2,1,2,2
Siskiyou,36,45,59,57,49
Solano,305,287,343,364,325
Sonoma,249,266,287,267,267
Stanislaus,805,544,676,687,678
Sutter,124,131,140,134,132
Tehama,129,104,125,139,124
Trinity,8,11,8,14,110
Tulare,581,471,552,523,531
Tuolumne,65,52,59,57,58
Ventura,479,471,534,523,502
Yolo,217,185,180,197,195
Yuba,136,127,146,148,139
